scheduler,trace,num_processes,throughput,avg_wait,avg_turnaround,avg_response
EP,1,1,0.1000,0.00,10.00,0.00
EP,2,3,0.0625,14.67,35.67,2.00
EP,3,3,0.0265,10.67,64.67,3.45
EP,4,3,0.0265,10.67,64.67,3.45
EP,5,3,0.0265,10.67,64.67,3.45
EP,6,3,0.0265,10.67,64.67,3.45
EP,7,3,0.0265,10.67,64.67,3.45
EP,8,3,0.0265,10.67,64.67,3.45
EP,9,3,0.0265,10.67,64.67,3.45
EP,10,3,0.0265,10.67,64.67,3.45
EP,11,3,0.0265,10.67,64.67,3.45
EP,12,3,0.0265,10.67,64.67,3.45
EP,13,3,0.0265,10.67,64.67,3.45
EP,14,3,0.0265,10.67,64.67,3.45
EP,15,3,0.0265,10.67,64.67,3.45
EP,16,3,0.0265,10.67,64.67,3.45
EP,17,3,0.0265,10.67,64.67,3.45
EP,18,3,0.0265,10.67,64.67,3.45
EP,19,3,0.0265,10.67,64.67,3.45
EP,20,3,0.0265,10.67,64.67,3.45
RR,1,1,0.1000,0.00,10.00,0.00
RR,2,3,0.0638,18.00,39.00,2.00
RR,3,3,0.0246,15.33,69.33,3.45
RR,4,3,0.0246,15.33,69.33,3.45
RR,5,3,0.0246,15.33,69.33,3.45
RR,6,3,0.0246,15.33,69.33,3.45
RR,7,3,0.0246,15.33,69.33,3.45
RR,8,3,0.0246,15.33,69.33,3.45
RR,9,3,0.0246,15.33,69.33,3.45
RR,10,3,0.0246,15.33,69.33,3.45
RR,11,3,0.0246,15.33,69.33,3.45
RR,12,3,0.0246,15.33,69.33,3.45
RR,13,3,0.0246,15.33,69.33,3.45
RR,14,3,0.0246,15.33,69.33,3.45
RR,15,3,0.0246,15.33,69.33,3.45
RR,16,3,0.0246,15.33,69.33,3.45
RR,17,3,0.0246,15.33,69.33,3.45
RR,18,3,0.0246,15.33,69.33,3.45
RR,19,3,0.0246,15.33,69.33,3.45
RR,20,3,0.0246,15.33,69.33,3.45
EP_RR,1,3,0.0246,15.33,69.33,3.45
EP_RR,2,3,0.0638,18.00,39.00,2.00
EP_RR,3,3,0.0246,15.33,69.33,3.45
EP_RR,4,3,0.0246,15.33,69.33,3.45
EP_RR,5,3,0.0246,15.33,69.33,3.45
EP_RR,6,3,0.0246,15.33,69.33,3.45
EP_RR,7,3,0.0246,15.33,69.33,3.45
EP_RR,8,3,0.0246,15.33,69.33,3.45
EP_RR,9,3,0.0246,15.33,69.33,3.45
EP_RR,10,3,0.0246,15.33,69.33,3.45
EP_RR,11,3,0.0246,15.33,69.33,3.45
EP_RR,12,3,0.0246,15.33,69.33,3.45
EP_RR,13,3,0.0246,15.33,69.33,3.45
EP_RR,14,3,0.0246,15.33,69.33,3.45
EP_RR,15,3,0.0246,15.33,69.33,3.45
EP_RR,16,3,0.0246,15.33,69.33,3.45
EP_RR,17,3,0.0246,15.33,69.33,3.45
EP_RR,18,3,0.0246,15.33,69.33,3.45
EP_RR,19,3,0.0246,15.33,69.33,3.45
EP_RR,20,3,0.0246,15.33,69.33,3.45
